municipality_original,municipality_match_key,municipality_canonical,review_status,normalization_rule,notes
AIN,AIN,AIN,pending,identity_pending_review,
ALBOCASSER,ALBOCASSER,ALBOCASSER,pending,identity_pending_review,
ALCALA DE XIVERT,ALCALA DE XIVERT,ALCALA DE XIVERT,pending,identity_pending_review,
ALCORA,ALCORA,ALCORA,pending,identity_pending_review,
ALCUDIA DE VEO,ALCUDIA DE VEO,ALCUDIA DE VEO,pending,identity_pending_review,
ALFONDEGUILLA,ALFONDEGUILLA,ALFONDEGUILLA,pending,identity_pending_review,
ALMASSORA,ALMASSORA,ALMASSORA,pending,identity_pending_review,
ALMAZORA,ALMAZORA,ALMAZORA,pending,identity_pending_review,
ALMAZORA/ALMASSORA,ALMAZORA ALMASSORA,ALMAZORA/ALMASSORA,pending,identity_pending_review,
ALMEDIJAR,ALMEDIJAR,ALMEDIJAR,pending,identity_pending_review,
ALMENARA,ALMENARA,ALMENARA,pending,identity_pending_review,
ALQUERIAS DEL NIÑO PERDIDO,ALQUERIAS DEL NINO PERDIDO,ALQUERIAS DEL NIÑO PERDIDO,pending,identity_pending_review,
ALQUERIES/ALQUERIAS NIÑO PERDIDO,ALQUERIES ALQUERIAS NINO PERDIDO,ALQUERIES/ALQUERIAS NIÑO PERDIDO,pending,identity_pending_review,
ALTURA,ALTURA,ALTURA,pending,identity_pending_review,
ARTANA,ARTANA,ARTANA,pending,identity_pending_review,
ATZENETA DEL MAESTRAT,ATZENETA DEL MAESTRAT,ATZENETA DEL MAESTRAT,pending,identity_pending_review,
AZUEBAR,AZUEBAR,AZUEBAR,pending,identity_pending_review,
BARRACAS,BARRACAS,BARRACAS,pending,identity_pending_review,
BEJIS,BEJIS,BEJIS,pending,identity_pending_review,
BENASAL,BENASAL,BENASAL,pending,identity_pending_review,
BENASSAL,BENASSAL,BENASSAL,pending,identity_pending_review,
BENICARLO,BENICARLO,BENICARLO,pending,identity_pending_review,
BENICASIM,BENICASIM,BENICASIM,pending,identity_pending_review,
BENICASIM/BENICASSIM,BENICASIM BENICASSIM,BENICASIM/BENICASSIM,pending,identity_pending_review,
BENICASSIM/BENICASIM,BENICASSIM BENICASIM,BENICASSIM/BENICASIM,pending,identity_pending_review,
BENLLOC,BENLLOC,BENLLOC,pending,identity_pending_review,
BENLLOCH,BENLLOCH,BENLLOCH,pending,identity_pending_review,
BETXI,BETXI,BETXI,pending,identity_pending_review,
BORRIANA/BURRIANA,BORRIANA BURRIANA,BORRIANA/BURRIANA,pending,identity_pending_review,
BORRIOL,BORRIOL,BORRIOL,pending,identity_pending_review,
BURRIANA,BURRIANA,BURRIANA,pending,identity_pending_review,
CABANES,CABANES,CABANES,pending,identity_pending_review,
CALIG,CALIG,CALIG,pending,identity_pending_review,
CANET LO ROIG,CANET LO ROIG,CANET LO ROIG,pending,identity_pending_review,
CASTELLNOVO,CASTELLNOVO,CASTELLNOVO,pending,identity_pending_review,
CASTELLO DE LA PLANA,CASTELLO DE LA PLANA,CASTELLO DE LA PLANA,pending,identity_pending_review,
CASTELLON,CASTELLON,CASTELLON,pending,identity_pending_review,
CASTELLON DE LA PLANA,CASTELLON DE LA PLANA,CASTELLON DE LA PLANA,pending,identity_pending_review,
CASTELLON DE LA PLANA/CAS,CASTELLON DE LA PLANA CAS,CASTELLON DE LA PLANA/CAS,pending,identity_pending_review,
CASTELLON DE LA PLANA/CASTELLO DE L,CASTELLON DE LA PLANA CASTELLO DE L,CASTELLON DE LA PLANA/CASTELLO DE L,pending,identity_pending_review,
CASTELLON LA PLANA/CASTELLO PLANA,CASTELLON LA PLANA CASTELLO PLANA,CASTELLON LA PLANA/CASTELLO PLANA,pending,identity_pending_review,
CASTELLON PLANA/CASTELLO,CASTELLON PLANA CASTELLO,CASTELLON PLANA/CASTELLO,pending,identity_pending_review,
CASTELLON PLANA/CASTELLO PLANA,CASTELLON PLANA CASTELLO PLANA,CASTELLON PLANA/CASTELLO PLANA,pending,identity_pending_review,
CASTILLO DE VILLAMALEFA,CASTILLO DE VILLAMALEFA,CASTILLO DE VILLAMALEFA,pending,identity_pending_review,
CATI,CATI,CATI,pending,identity_pending_review,
CAUDIEL,CAUDIEL,CAUDIEL,pending,identity_pending_review,
CERVERA DEL MAESTRE,CERVERA DEL MAESTRE,CERVERA DEL MAESTRE,pending,identity_pending_review,
CHERT,CHERT,CHERT,pending,identity_pending_review,
CHILCHES,CHILCHES,CHILCHES,pending,identity_pending_review,
CHILCHES/XILXES,CHILCHES XILXES,CHILCHES/XILXES,pending,identity_pending_review,
CHOVAR,CHOVAR,CHOVAR,pending,identity_pending_review,
CINCTORRES,CINCTORRES,CINCTORRES,pending,identity_pending_review,
CIRAT,CIRAT,CIRAT,pending,identity_pending_review,
CORTES DE ARENOSO,CORTES DE ARENOSO,CORTES DE ARENOSO,pending,identity_pending_review,
COSTUR,COSTUR,COSTUR,pending,identity_pending_review,
CULLA,CULLA,CULLA,pending,identity_pending_review,
EL TORO,EL TORO,EL TORO,pending,identity_pending_review,
ESLIDA,ESLIDA,ESLIDA,pending,identity_pending_review,
ESPADILLA,ESPADILLA,ESPADILLA,pending,identity_pending_review,
FANZARA,FANZARA,FANZARA,pending,identity_pending_review,
FIGUEROLES,FIGUEROLES,FIGUEROLES,pending,identity_pending_review,
FORCALL,FORCALL,FORCALL,pending,identity_pending_review,
FUENTES DE AYODAR,FUENTES DE AYODAR,FUENTES DE AYODAR,pending,identity_pending_review,
GAIBIEL,GAIBIEL,GAIBIEL,pending,identity_pending_review,
GELDO,GELDO,GELDO,pending,identity_pending_review,
HERBERS,HERBERS,HERBERS,pending,identity_pending_review,
HIGUERAS,HIGUERAS,HIGUERAS,pending,identity_pending_review,
JERICA,JERICA,JERICA,pending,identity_pending_review,
L'ALCORA,L ALCORA,L'ALCORA,pending,identity_pending_review,
LA JANA,LA JANA,LA JANA,pending,identity_pending_review,
LA LLOSA,LA LLOSA,LA LLOSA,pending,identity_pending_review,
LA MATA DE MORELLA,LA MATA DE MORELLA,LA MATA DE MORELLA,pending,identity_pending_review,
LA POBLA DE BENIFASSA,LA POBLA DE BENIFASSA,LA POBLA DE BENIFASSA,pending,identity_pending_review,
LA POBLA TORNESA,LA POBLA TORNESA,LA POBLA TORNESA,pending,identity_pending_review,
LA SALZADELLA,LA SALZADELLA,LA SALZADELLA,pending,identity_pending_review,
LA TORRE D'EN BESORA,LA TORRE D EN BESORA,LA TORRE D'EN BESORA,pending,identity_pending_review,
LA VALL D'UIXO,LA VALL D UIXO,LA VALL D'UIXO,pending,identity_pending_review,
LA VILAVELLA,LA VILAVELLA,LA VILAVELLA,pending,identity_pending_review,
LES COVES DE VINROMA,LES COVES DE VINROMA,LES COVES DE VINROMA,pending,identity_pending_review,
LES USERAS/USERES,LES USERAS USERES,LES USERAS/USERES,pending,identity_pending_review,
LES USERES/USERAS,LES USERES USERAS,LES USERES/USERAS,pending,identity_pending_review,
LLUCENA/LUCENA DEL CID,LLUCENA LUCENA DEL CID,LLUCENA/LUCENA DEL CID,pending,identity_pending_review,
LUCENA DEL CID,LUCENA DEL CID,LUCENA DEL CID,pending,identity_pending_review,
LUDIENTE,LUDIENTE,LUDIENTE,pending,identity_pending_review,
MONCOFA,MONCOFA,MONCOFA,pending,identity_pending_review,
MONTANEJOS,MONTANEJOS,MONTANEJOS,pending,identity_pending_review,
MORELLA,MORELLA,MORELLA,pending,identity_pending_review,
NAVAJAS,NAVAJAS,NAVAJAS,pending,identity_pending_review,
NULES,NULES,NULES,pending,identity_pending_review,
OLOCAU DEL REY,OLOCAU DEL REY,OLOCAU DEL REY,pending,identity_pending_review,
ONDA,ONDA,ONDA,pending,identity_pending_review,
OROPESA,OROPESA,OROPESA,pending,identity_pending_review,
OROPESA DEL MAR,OROPESA DEL MAR,OROPESA DEL MAR,pending,identity_pending_review,
OROPESA DEL MAR/ORPESA,OROPESA DEL MAR ORPESA,OROPESA DEL MAR/ORPESA,pending,identity_pending_review,
OROPESA/OROPESA DEL MAR,OROPESA OROPESA DEL MAR,OROPESA/OROPESA DEL MAR,pending,identity_pending_review,
