record_order,company_name,website,municipality,employees_latest,operating_revenue_latest_k_eur,operating_revenue_previous_k_eur,ebitda_latest_k_eur,ebitda_previous_k_eur,shareholder_name
1,SYNTHETIC NORTHSTAR INDUSTRIES 001 SL,https://synthetic-company-001.example,ALMASSORA,46,5598.334472,5338.196360,1391.059758,1211.627052,SYNTHETIC HOLDING 02 SL
2,SYNTHETIC BLUEHAVEN INDUSTRIES 002 SL,,ONDA,78,5116.952653,4362.738522,751.657189,730.655165,
3,SYNTHETIC SOLARIDGE INDUSTRIES 003 SL,https://synthetic-company-003.example,BENICARLO,24,3146.294115,2770.584899,619.286370,441.622001,SYNTHETIC HOLDING 04 SL
4,SYNTHETIC IRONVALE INDUSTRIES 004 SL,,BENICARLO,53,5070.938770,5305.922547,403.174912,382.555618,
5,SYNTHETIC RIVERSTONE INDUSTRIES 005 SL,https://synthetic-company-005.example,BENICARLO,6,882.270376,703.762633,46.302485,18.799606,SYNTHETIC HOLDING 06 SL
6,SYNTHETIC NOVACORE INDUSTRIES 006 SL,,NULES,22,2168.004224,2152.120905,536.242221,262.400278,SYNTHETIC HOLDING 07 SL
7,SYNTHETIC GREENFORGE INDUSTRIES 007 SL,https://synthetic-company-007.example,L'ALCORA,46,2766.541497,3151.143632,426.871715,544.113198,SYNTHETIC HOLDING 08 SL
8,SYNTHETIC CLEARPATH INDUSTRIES 008 SL,,CASTELLO DE LA PLANA,44,3307.998106,2773.702578,768.192478,690.112593,
9,SYNTHETIC PRIMEFIELD INDUSTRIES 009 SL,,L'ALCORA,21,1592.939813,1575.217022,401.215662,359.929858,
10,SYNTHETIC VECTORLINE INDUSTRIES 010 SL,,NULES,137,17609.393255,17047.078072,1844.839262,563.910043,SYNTHETIC HOLDING 11 SL
11,SYNTHETIC BRIGHTMILL INDUSTRIES 011 SL,https://synthetic-company-011.example,VILA-REAL,70,7935.708741,7860.320438,-880.802666,-510.204886,
12,SYNTHETIC AURORA INDUSTRIES 012 SL,https://synthetic-company-012.example,CASTELLO DE LA PLANA,30,3573.852956,4043.212214,555.580369,486.764204,SYNTHETIC HOLDING 01 SL
13,SYNTHETIC NORTHSTAR SYSTEMS 013 SL,https://synthetic-company-013.example,ONDA,33,5678.936996,4410.497357,1770.769742,824.279390,SYNTHETIC HOLDING 02 SL
14,SYNTHETIC BLUEHAVEN SYSTEMS 014 SL,https://synthetic-company-014.example,ALMASSORA,57,4238.828605,4056.150166,1211.958377,1206.939337,SYNTHETIC HOLDING 03 SL
15,SYNTHETIC SOLARIDGE SYSTEMS 015 SL,,VILA-REAL,49,7571.371076,7499.667663,1062.850882,1150.904220,SYNTHETIC HOLDING 04 SL
16,SYNTHETIC IRONVALE SYSTEMS 016 SL,https://synthetic-company-016.example,VILA-REAL,5,617.383972,531.532473,121.950566,84.691014,SYNTHETIC HOLDING 05 SL
17,SYNTHETIC RIVERSTONE SYSTEMS 017 SL,,VINAROS,105,12949.540983,13410.394261,2417.498090,2557.648277,SYNTHETIC HOLDING 06 SL
18,SYNTHETIC NOVACORE SYSTEMS 018 SL,https://synthetic-company-018.example,ONDA,5,815.862736,712.693618,-34.371920,-5.313994,
19,SYNTHETIC GREENFORGE SYSTEMS 019 SL,https://synthetic-company-019.example,VILA-REAL,8,860.049617,807.606635,212.924898,177.902847,SYNTHETIC HOLDING 08 SL
20,SYNTHETIC CLEARPATH SYSTEMS 020 SL,https://synthetic-company-020.example,ALMASSORA,12,926.057845,961.067118,92.576814,92.968589,SYNTHETIC HOLDING 09 SL
21,SYNTHETIC PRIMEFIELD SYSTEMS 021 SL,https://synthetic-company-021.example,VILA-REAL,31,1683.526132,1973.657384,376.061655,404.539431,SYNTHETIC HOLDING 10 SL
22,SYNTHETIC VECTORLINE SYSTEMS 022 SL,https://synthetic-company-022.example,VINAROS,5,671.404818,691.372131,76.551804,76.453342,SYNTHETIC HOLDING 11 SL
23,SYNTHETIC BRIGHTMILL SYSTEMS 023 SL,https://synthetic-company-023.example,VILA-REAL,23,2476.850827,2012.048033,237.457175,211.482056,SYNTHETIC HOLDING 12 SL
24,SYNTHETIC AURORA SYSTEMS 024 SL,,VINAROS,28,1735.212172,1550.480569,-75.837478,19.692880,SYNTHETIC HOLDING 01 SL
25,SYNTHETIC NORTHSTAR MATERIALS 025 SL (EXTINGUIDA),https://synthetic-company-025.example,ONDA,26,1844.791357,2052.940806,107.751517,242.370868,
26,SYNTHETIC BLUEHAVEN MATERIALS 026 SL,https://synthetic-company-026.example,L'ALCORA,5,238.914846,220.505876,17.584646,1.537601,
27,SYNTHETIC SOLARIDGE MATERIALS 027 SL,https://synthetic-company-027.example,ALMASSORA,8,1380.079097,1172.717537,-79.484293,-86.609735,SYNTHETIC HOLDING 04 SL
28,SYNTHETIC IRONVALE MATERIALS 028 SL,https://synthetic-company-028.example,VINAROS,13,1550.561002,1215.840733,32.727376,117.857438,SYNTHETIC HOLDING 05 SL
29,SYNTHETIC RIVERSTONE MATERIALS 029 SL,https://synthetic-company-029.example,CASTELLO DE LA PLANA,8,453.493048,497.665719,49.582368,63.132859,
30,SYNTHETIC NOVACORE MATERIALS 030 SL,https://synthetic-company-030.example,VILA-REAL,23,6418.696216,4926.668926,1106.108897,570.198990,SYNTHETIC HOLDING 07 SL
31,SYNTHETIC GREENFORGE MATERIALS 031 SL,https://synthetic-company-031.example,VILA-REAL,10,694.693234,663.154455,31.937880,75.816049,SYNTHETIC HOLDING 08 SL
32,SYNTHETIC CLEARPATH MATERIALS 032 SL,,VINAROS,8,1293.241774,1264.656464,126.487291,105.074642,
33,SYNTHETIC PRIMEFIELD MATERIALS 033 SL (EN LIQUIDACION),https://synthetic-company-033.example,VILA-REAL,22,2697.418413,2596.174818,10.352965,-167.433566,
34,SYNTHETIC VECTORLINE MATERIALS 034 SL,https://synthetic-company-034.example,VINAROS,12,2878.503920,2801.025756,-97.821683,145.565414,SYNTHETIC HOLDING 11 SL
35,SYNTHETIC BRIGHTMILL MATERIALS 035 SL,https://synthetic-company-035.example,L'ALCORA,49,2873.719175,3320.875196,27.263423,300.694974,SYNTHETIC HOLDING 12 SL
36,SYNTHETIC AURORA MATERIALS 036 SL,https://synthetic-company-036.example,CASTELLO DE LA PLANA,28,1455.766483,1824.283279,-79.666249,-115.380016,SYNTHETIC HOLDING 01 SL
37,SYNTHETIC NORTHSTAR SOLUTIONS 037 SL,https://synthetic-company-037.example,BENICARLO,21,3765.767747,3014.539597,767.205861,195.310682,
38,SYNTHETIC BLUEHAVEN SOLUTIONS 038 SL,https://synthetic-company-038.example,ONDA,16,1203.137135,1089.228499,136.120961,85.358692,
39,SYNTHETIC SOLARIDGE SOLUTIONS 039 SL,,NULES,10,1186.364996,1480.764548,1.245254,33.385994,
40,SYNTHETIC IRONVALE SOLUTIONS 040 SL,https://synthetic-company-040.example,ONDA,21,2391.201294,2043.055724,107.953184,145.844729,
41,SYNTHETIC RIVERSTONE SOLUTIONS 041 SL,https://synthetic-company-041.example,BENICARLO,34,3412.268118,3381.757951,301.226762,288.390691,
42,SYNTHETIC NOVACORE SOLUTIONS 042 SL,,NULES,7,590.720738,604.739306,-21.125229,5.449577,SYNTHETIC HOLDING 07 SL
43,SYNTHETIC GREENFORGE SOLUTIONS 043 SL,https://synthetic-company-043.example,ONDA,33,4411.007212,4173.337305,-179.204360,-323.604586,
44,SYNTHETIC CLEARPATH SOLUTIONS 044 SL,https://synthetic-company-044.example,VILA-REAL,84,9583.019143,10523.591140,1191.388592,1917.934177,SYNTHETIC HOLDING 09 SL
45,SYNTHETIC PRIMEFIELD SOLUTIONS 045 SL,https://synthetic-company-045.example,VILA-REAL,50,1897.721801,2456.503605,327.056599,317.613491,SYNTHETIC HOLDING 10 SL
46,SYNTHETIC VECTORLINE SOLUTIONS 046 SL,https://synthetic-company-046.example,ALMASSORA,19,2381.760709,2610.981295,186.422477,126.254377,SYNTHETIC HOLDING 11 SL
47,SYNTHETIC BRIGHTMILL SOLUTIONS 047 SL,https://synthetic-company-047.example,NULES,59,10042.042137,11244.062081,1298.878507,2016.807422,SYNTHETIC HOLDING 12 SL
48,SYNTHETIC AURORA SOLUTIONS 048 SL,https://synthetic-company-048.example,NULES,37,4783.166842,4692.401443,240.294413,194.763833,
49,SYNTHETIC NORTHSTAR TECHNOLOGIES 049 SL,https://synthetic-company-049.example,ONDA,25,2409.406602,2908.915656,-49.259838,-175.622251,SYNTHETIC HOLDING 02 SL
50,SYNTHETIC BLUEHAVEN TECHNOLOGIES 050 SL (EXTINGUIDA),https://synthetic-company-050.example,ALMASSORA,15,2091.710481,1596.987161,237.899774,94.768724,
51,SYNTHETIC SOLARIDGE TECHNOLOGIES 051 SL,https://synthetic-company-051.example,CASTELLO DE LA PLANA,43,6159.936751,6577.665424,920.420150,755.147294,SYNTHETIC HOLDING 04 SL
52,SYNTHETIC IRONVALE TECHNOLOGIES 052 SL,https://synthetic-company-052.example,VINAROS,36,3353.501607,2838.618079,406.834573,532.611641,
53,SYNTHETIC RIVERSTONE TECHNOLOGIES 053 SL,https://synthetic-company-053.example,NULES,16,2700.878333,2439.088072,667.608403,409.043402,
54,SYNTHETIC NOVACORE TECHNOLOGIES 054 SL,https://synthetic-company-054.example,ALMASSORA,5,365.459247,332.233245,57.343892,44.279297,SYNTHETIC HOLDING 07 SL
55,SYNTHETIC GREENFORGE TECHNOLOGIES 055 SL,https://synthetic-company-055.example,VINAROS,38,2749.139799,3239.909438,123.264975,-213.649542,SYNTHETIC HOLDING 08 SL
56,SYNTHETIC CLEARPATH TECHNOLOGIES 056 SL,https://synthetic-company-056.example,CASTELLO DE LA PLANA,17,1434.643017,1463.123249,120.259198,172.544897,SYNTHETIC HOLDING 09 SL
57,SYNTHETIC PRIMEFIELD TECHNOLOGIES 057 SL,https://synthetic-company-057.example,NULES,160,17193.894447,14845.081860,2468.231202,2781.275494,SYNTHETIC HOLDING 10 SL
58,SYNTHETIC VECTORLINE TECHNOLOGIES 058 SL,https://synthetic-company-058.example,ALMASSORA,6,484.624514,398.264916,-63.370160,-14.981738,SYNTHETIC HOLDING 11 SL
59,SYNTHETIC BRIGHTMILL TECHNOLOGIES 059 SL,https://synthetic-company-059.example,ONDA,16,3853.237889,4006.602647,760.073086,574.829219,SYNTHETIC HOLDING 12 SL
60,SYNTHETIC AURORA TECHNOLOGIES 060 SL,https://synthetic-company-060.example,NULES,15,2484.870729,2801.938718,-136.454949,109.960976,SYNTHETIC HOLDING 01 SL
61,SYNTHETIC NORTHSTAR OPERATIONS 061 SL,https://synthetic-company-061.example,VINAROS,43,6421.613693,6149.295286,-779.161917,-776.101765,
62,SYNTHETIC BLUEHAVEN OPERATIONS 062 SL,https://synthetic-company-062.example,NULES,30,4304.491451,3369.330435,926.208164,709.541345,SYNTHETIC HOLDING 03 SL
63,SYNTHETIC SOLARIDGE OPERATIONS 063 SL,https://synthetic-company-063.example,VINAROS,11,1101.509351,1441.061587,82.869336,99.053854,
64,SYNTHETIC IRONVALE OPERATIONS 064 SL,https://synthetic-company-064.example,L'ALCORA,19,3613.788524,3102.921175,-365.360958,-266.293710,
65,SYNTHETIC RIVERSTONE OPERATIONS 065 SL,,ONDA,87,11495.245582,10719.456318,1536.411774,1066.604629,
66,SYNTHETIC NOVACORE OPERATIONS 066 SL (EN LIQUIDACION),https://synthetic-company-066.example,VINAROS,12,1626.856929,2200.710627,-2.245767,-33.016387,SYNTHETIC HOLDING 07 SL
67,SYNTHETIC GREENFORGE OPERATIONS 067 SL,,BENICARLO,14,1098.697323,1238.820907,154.080868,242.986016,
68,SYNTHETIC CLEARPATH OPERATIONS 068 SL,https://synthetic-company-068.example,ONDA,5,1036.165915,1201.666544,-126.351208,-246.731825,SYNTHETIC HOLDING 09 SL
69,SYNTHETIC PRIMEFIELD OPERATIONS 069 SL,https://synthetic-company-069.example,L'ALCORA,25,2153.385841,2133.054506,468.410894,325.364089,
70,SYNTHETIC VECTORLINE OPERATIONS 070 SL,,L'ALCORA,6,1496.283613,1260.281712,408.110713,411.260620,
71,SYNTHETIC BRIGHTMILL OPERATIONS 071 SL,https://synthetic-company-071.example,BENICARLO,7,870.530779,843.131489,231.217333,219.017042,SYNTHETIC HOLDING 12 SL
72,SYNTHETIC AURORA OPERATIONS 072 SL,https://synthetic-company-072.example,VINAROS,66,14039.058867,12008.419944,889.453409,606.469204,SYNTHETIC HOLDING 01 SL
73,SYNTHETIC NORTHSTAR MANUFACTURING 073 SL,,L'ALCORA,115,24806.820751,20299.747142,3746.741511,504.471055,SYNTHETIC HOLDING 02 SL
74,SYNTHETIC BLUEHAVEN MANUFACTURING 074 SL,,NULES,9,1656.043596,1115.031392,265.550293,207.993345,
75,SYNTHETIC SOLARIDGE MANUFACTURING 075 SL (EXTINGUIDA),,VINAROS,11,1671.496568,2069.529752,343.433907,274.770146,SYNTHETIC HOLDING 04 SL
76,SYNTHETIC IRONVALE MANUFACTURING 076 SL,https://synthetic-company-076.example,ONDA,40,6863.697989,7731.435249,98.817780,-231.007665,SYNTHETIC HOLDING 05 SL
77,SYNTHETIC RIVERSTONE MANUFACTURING 077 SL,https://synthetic-company-077.example,ALMASSORA,37,3290.833972,2966.072456,241.493940,116.760012,SYNTHETIC HOLDING 06 SL
78,SYNTHETIC NOVACORE MANUFACTURING 078 SL,https://synthetic-company-078.example,ALMASSORA,8,568.999546,561.364243,148.277076,122.711130,SYNTHETIC HOLDING 07 SL
79,SYNTHETIC GREENFORGE MANUFACTURING 079 SL,https://synthetic-company-079.example,BENICARLO,24,1637.546251,1641.480847,3.015327,43.770825,SYNTHETIC HOLDING 08 SL
80,SYNTHETIC CLEARPATH MANUFACTURING 080 SL,https://synthetic-company-080.example,CASTELLO DE LA PLANA,34,2297.619598,2592.737954,548.112972,545.680240,SYNTHETIC HOLDING 09 SL
81,SYNTHETIC PRIMEFIELD MANUFACTURING 081 SL,,NULES,44,5716.664192,6116.310735,582.294436,327.911097,SYNTHETIC HOLDING 10 SL
82,SYNTHETIC VECTORLINE MANUFACTURING 082 SL,https://synthetic-company-082.example,ALMASSORA,16,1562.594223,1635.228591,133.646228,40.759804,
83,SYNTHETIC BRIGHTMILL MANUFACTURING 083 SL,https://synthetic-company-083.example,VILA-REAL,55,4149.885201,4040.579810,1165.470344,1066.667107,SYNTHETIC HOLDING 12 SL
84,SYNTHETIC AURORA MANUFACTURING 084 SL,,ONDA,10,1038.353394,1115.459333,223.866974,124.939732,SYNTHETIC HOLDING 01 SL
85,SYNTHETIC NORTHSTAR LOGISTICS 085 SL,,NULES,21,2561.496403,2276.908354,599.707828,406.648143,SYNTHETIC HOLDING 02 SL
86,SYNTHETIC BLUEHAVEN LOGISTICS 086 SL,https://synthetic-company-086.example,NULES,65,6202.505114,6954.247517,668.513333,269.092727,SYNTHETIC HOLDING 03 SL
87,SYNTHETIC SOLARIDGE LOGISTICS 087 SL,https://synthetic-company-087.example,NULES,23,2853.802076,2520.623392,507.477295,195.370325,SYNTHETIC HOLDING 04 SL
88,SYNTHETIC IRONVALE LOGISTICS 088 SL,https://synthetic-company-088.example,L'ALCORA,46,5831.738901,4804.527489,462.864956,353.342395,SYNTHETIC HOLDING 05 SL
89,SYNTHETIC RIVERSTONE LOGISTICS 089 SL,https://synthetic-company-089.example,ONDA,18,2654.154828,1935.778923,-77.236771,46.388592,SYNTHETIC HOLDING 06 SL
90,SYNTHETIC NOVACORE LOGISTICS 090 SL,,VINAROS,6,891.755347,951.005203,167.420818,69.985365,
91,SYNTHETIC GREENFORGE LOGISTICS 091 SL,https://synthetic-company-091.example,ALMASSORA,5,808.554966,678.854089,148.457140,124.788749,SYNTHETIC HOLDING 08 SL
92,SYNTHETIC CLEARPATH LOGISTICS 092 SL,https://synthetic-company-092.example,ONDA,15,4343.170074,3804.933595,195.443110,465.556595,SYNTHETIC HOLDING 09 SL
93,SYNTHETIC PRIMEFIELD LOGISTICS 093 SL,https://synthetic-company-093.example,ONDA,23,2542.693002,3315.156125,233.130352,208.860016,
94,SYNTHETIC VECTORLINE LOGISTICS 094 SL,https://synthetic-company-094.example,ONDA,111,30615.704254,28335.502983,324.982790,1421.306127,
95,SYNTHETIC BRIGHTMILL LOGISTICS 095 SL,https://synthetic-company-095.example,ALMASSORA,22,2797.533880,3113.382069,15.395330,-101.630402,
96,SYNTHETIC AURORA LOGISTICS 096 SL,https://synthetic-company-096.example,ALMASSORA,28,2703.848695,2217.462316,407.753408,274.048826,
97,SYNTHETIC NORTHSTAR INDUSTRIES 097 SL,,VINAROS,47,6304.272193,5810.712342,-1133.766058,-845.547552,
98,SYNTHETIC BLUEHAVEN INDUSTRIES 098 SL,https://synthetic-company-098.example,CASTELLO DE LA PLANA,19,3130.392939,2515.046012,390.022339,-23.416031,SYNTHETIC HOLDING 03 SL
99,SYNTHETIC SOLARIDGE INDUSTRIES 099 SL (EN LIQUIDACION),https://synthetic-company-099.example,ONDA,31,5409.184118,4470.242664,242.376242,192.870594,SYNTHETIC HOLDING 04 SL
100,SYNTHETIC IRONVALE INDUSTRIES 100 SL (EXTINGUIDA),https://synthetic-company-100.example,NULES,107,7118.018512,10028.099468,1136.828421,1087.498797,SYNTHETIC HOLDING 05 SL
101,SYNTHETIC RIVERSTONE INDUSTRIES 101 SL,https://synthetic-company-101.example,L'ALCORA,54,6786.848750,6809.008798,759.168506,853.920551,SYNTHETIC HOLDING 06 SL
102,SYNTHETIC NOVACORE INDUSTRIES 102 SL,,VILA-REAL,21,2314.388584,1979.864223,120.746329,121.201330,
103,SYNTHETIC GREENFORGE INDUSTRIES 103 SL,https://synthetic-company-103.example,NULES,30,1487.886006,2005.248735,197.166304,5.424471,SYNTHETIC HOLDING 08 SL
104,SYNTHETIC CLEARPATH INDUSTRIES 104 SL,https://synthetic-company-104.example,BENICARLO,18,2721.039910,3266.499107,298.726011,334.803671,SYNTHETIC HOLDING 09 SL
105,SYNTHETIC PRIMEFIELD INDUSTRIES 105 SL,,VILA-REAL,36,3148.783958,3011.289918,279.580236,575.459650,SYNTHETIC HOLDING 10 SL
106,SYNTHETIC VECTORLINE INDUSTRIES 106 SL,https://synthetic-company-106.example,ONDA,41,6165.934695,5738.050072,1082.190373,1168.809791,
107,SYNTHETIC BRIGHTMILL INDUSTRIES 107 SL,https://synthetic-company-107.example,NULES,60,6877.665683,7609.418675,-342.101619,-381.170019,SYNTHETIC HOLDING 12 SL
108,SYNTHETIC AURORA INDUSTRIES 108 SL,https://synthetic-company-108.example,CASTELLO DE LA PLANA,45,3781.019699,3487.544155,-336.014276,58.116653,SYNTHETIC HOLDING 01 SL
109,SYNTHETIC NORTHSTAR SYSTEMS 109 SL,https://synthetic-company-109.example,ALMASSORA,18,2377.718416,1793.466790,631.043352,408.771354,SYNTHETIC HOLDING 02 SL
110,SYNTHETIC BLUEHAVEN SYSTEMS 110 SL,https://synthetic-company-110.example,VILA-REAL,15,3742.798451,3741.390761,-217.501830,-36.504324,SYNTHETIC HOLDING 03 SL
111,SYNTHETIC SOLARIDGE SYSTEMS 111 SL,,VINAROS,13,1693.646722,1698.274677,-204.284359,-12.832840,SYNTHETIC HOLDING 04 SL
112,SYNTHETIC IRONVALE SYSTEMS 112 SL,https://synthetic-company-112.example,NULES,55,7086.838361,7019.756748,76.036390,346.295112,SYNTHETIC HOLDING 05 SL
113,SYNTHETIC RIVERSTONE SYSTEMS 113 SL,https://synthetic-company-113.example,CASTELLO DE LA PLANA,16,1197.984783,1089.701101,57.418360,99.354129,SYNTHETIC HOLDING 06 SL
114,SYNTHETIC NOVACORE SYSTEMS 114 SL,,VILA-REAL,9,913.715517,854.221403,97.027690,76.951224,SYNTHETIC HOLDING 07 SL
115,SYNTHETIC GREENFORGE SYSTEMS 115 SL,https://synthetic-company-115.example,BENICARLO,22,1535.311622,1325.595862,137.422475,71.996793,SYNTHETIC HOLDING 08 SL
116,SYNTHETIC CLEARPATH SYSTEMS 116 SL,https://synthetic-company-116.example,BENICARLO,50,5213.841365,4196.206242,878.891902,551.971222,SYNTHETIC HOLDING 09 SL
117,SYNTHETIC PRIMEFIELD SYSTEMS 117 SL,https://synthetic-company-117.example,L'ALCORA,75,6202.277924,,1227.376743,1205.907858,SYNTHETIC HOLDING 10 SL
118,SYNTHETIC VECTORLINE SYSTEMS 118 SL,https://synthetic-company-118.example,VINAROS,15,,,160.012066,0.530473,SYNTHETIC HOLDING 11 SL
119,SYNTHETIC BRIGHTMILL SYSTEMS 119 SL,https://synthetic-company-119.example,ONDA,21,,,,390.760025,SYNTHETIC HOLDING 12 SL
120,SYNTHETIC AURORA SYSTEMS 120 SL (EN DISOLUCION),https://synthetic-company-120.example,CASTELLO DE LA PLANA,10,,,,193.533954,SYNTHETIC HOLDING 01 SL
