record_order,company_name,website,municipality,employees_latest,operating_revenue_latest_k_eur,operating_revenue_previous_k_eur,ebitda_latest_k_eur,ebitda_previous_k_eur,shareholder_name,company_name_normalized,legal_status,has_adverse_legal_status,company_match_key,potential_duplicate,potential_duplicate_count,revenue_growth,revenue_change_k_eur,ebitda_margin,ebitda_change_k_eur,revenue_per_employee_k_eur,ebitda_per_employee_k_eur,has_negative_latest_revenue,has_zero_latest_revenue,has_negative_latest_ebitda,has_revenue_decline,has_extreme_ebitda_margin,has_incomplete_financial_data,data_quality_issue_count,business_risk_signal_count,has_data_quality_issue,has_business_risk_signal,data_quality_status,analytical_eligibility,data_quality_reasons,business_risk_reasons
1,SYNTHETIC NORTHSTAR INDUSTRIES 001 SL,https://synthetic-company-001.example,ALMASSORA,46,5598.334472,5338.19636,1391.059758,1211.627052,SYNTHETIC HOLDING 02 SL,SYNTHETIC NORTHSTAR INDUSTRIES 001 SL,no_adverse_marker,False,SYNTHETIC NORTHSTAR INDUSTRIES 001 SL,False,1,0.0487314618,260.138112,0.2484774293,179.432706,121.7029233,30.24042952,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
2,SYNTHETIC BLUEHAVEN INDUSTRIES 002 SL,,ONDA,78,5116.952653,4362.738522,751.657189,730.655165,,SYNTHETIC BLUEHAVEN INDUSTRIES 002 SL,no_adverse_marker,False,SYNTHETIC BLUEHAVEN INDUSTRIES 002 SL,False,1,0.1728763086,754.214131,0.1468954747,21.002024,65.60195709,9.636630628,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
3,SYNTHETIC SOLARIDGE INDUSTRIES 003 SL,https://synthetic-company-003.example,BENICARLO,24,3146.294115,2770.584899,619.28637,441.622001,SYNTHETIC HOLDING 04 SL,SYNTHETIC SOLARIDGE INDUSTRIES 003 SL,no_adverse_marker,False,SYNTHETIC SOLARIDGE INDUSTRIES 003 SL,False,1,0.1356064621,375.709216,0.196830413,177.664369,131.0955881,25.80359875,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
4,SYNTHETIC IRONVALE INDUSTRIES 004 SL,,BENICARLO,53,5070.93877,5305.922547,403.174912,382.555618,,SYNTHETIC IRONVALE INDUSTRIES 004 SL,no_adverse_marker,False,SYNTHETIC IRONVALE INDUSTRIES 004 SL,False,1,-0.04428707259,-234.983777,0.07950695725,20.619294,95.67809,7.607073811,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
5,SYNTHETIC RIVERSTONE INDUSTRIES 005 SL,https://synthetic-company-005.example,BENICARLO,6,882.270376,703.762633,46.302485,18.799606,SYNTHETIC HOLDING 06 SL,SYNTHETIC RIVERSTONE INDUSTRIES 005 SL,no_adverse_marker,False,SYNTHETIC RIVERSTONE INDUSTRIES 005 SL,False,1,0.2536476571,178.507743,0.05248106052,27.502879,147.0450627,7.717080833,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
6,SYNTHETIC NOVACORE INDUSTRIES 006 SL,,NULES,22,2168.004224,2152.120905,536.242221,262.400278,SYNTHETIC HOLDING 07 SL,SYNTHETIC NOVACORE INDUSTRIES 006 SL,no_adverse_marker,False,SYNTHETIC NOVACORE INDUSTRIES 006 SL,False,1,0.007380309797,15.883319,0.247343716,273.841943,98.54564655,24.37464641,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
7,SYNTHETIC GREENFORGE INDUSTRIES 007 SL,https://synthetic-company-007.example,L'ALCORA,46,2766.541497,3151.143632,426.871715,544.113198,SYNTHETIC HOLDING 08 SL,SYNTHETIC GREENFORGE INDUSTRIES 007 SL,no_adverse_marker,False,SYNTHETIC GREENFORGE INDUSTRIES 007 SL,False,1,-0.1220516041,-384.602135,0.1542979621,-117.241483,60.14220646,9.279819891,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
8,SYNTHETIC CLEARPATH INDUSTRIES 008 SL,,CASTELLO DE LA PLANA,44,3307.998106,2773.702578,768.192478,690.112593,,SYNTHETIC CLEARPATH INDUSTRIES 008 SL,no_adverse_marker,False,SYNTHETIC CLEARPATH INDUSTRIES 008 SL,False,1,0.1926289907,534.295528,0.2322227684,78.079885,75.18177514,17.45891995,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
9,SYNTHETIC PRIMEFIELD INDUSTRIES 009 SL,,L'ALCORA,21,1592.939813,1575.217022,401.215662,359.929858,,SYNTHETIC PRIMEFIELD INDUSTRIES 009 SL,no_adverse_marker,False,SYNTHETIC PRIMEFIELD INDUSTRIES 009 SL,False,1,0.01125101542,17.722791,0.2518711999,41.285804,75.85427681,19.10550771,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
10,SYNTHETIC VECTORLINE INDUSTRIES 010 SL,,NULES,137,17609.39325,17047.07807,1844.839262,563.910043,SYNTHETIC HOLDING 11 SL,SYNTHETIC VECTORLINE INDUSTRIES 010 SL,no_adverse_marker,False,SYNTHETIC VECTORLINE INDUSTRIES 010 SL,False,1,0.03298601559,562.315183,0.104764499,1280.929219,128.5357172,13.46598001,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
