rank,company_name,municipality,employees_latest,operating_revenue_latest_k_eur,ebitda_latest_k_eur,revenue_growth,ebitda_margin,legal_status,analytical_eligibility
1,SYNTHETIC VECTORLINE LOGISTICS 094 SL,ONDA,111,30615.70425,324.98279,0.08047152974,0.01061490493,no_adverse_marker,eligible
2,SYNTHETIC NORTHSTAR MANUFACTURING 073 SL,L'ALCORA,115,24806.82075,3746.741511,0.2220260961,0.1510367471,no_adverse_marker,eligible
3,SYNTHETIC VECTORLINE INDUSTRIES 010 SL,NULES,137,17609.39325,1844.839262,0.03298601559,0.104764499,no_adverse_marker,eligible
4,SYNTHETIC PRIMEFIELD TECHNOLOGIES 057 SL,NULES,160,17193.89445,2468.231202,0.1582215989,0.1435527716,no_adverse_marker,eligible
5,SYNTHETIC AURORA OPERATIONS 072 SL,VINAROS,66,14039.05887,889.453409,0.1691012583,0.06335562928,no_adverse_marker,eligible
6,SYNTHETIC RIVERSTONE SYSTEMS 017 SL,VINAROS,105,12949.54098,2417.49809,-0.03436537875,0.1866860063,no_adverse_marker,eligible
7,SYNTHETIC RIVERSTONE OPERATIONS 065 SL,ONDA,87,11495.24558,1536.411774,0.07237207196,0.133656281,no_adverse_marker,eligible
8,SYNTHETIC BRIGHTMILL SOLUTIONS 047 SL,NULES,59,10042.04214,1298.878507,-0.1069026421,0.1293440606,no_adverse_marker,eligible
9,SYNTHETIC CLEARPATH SOLUTIONS 044 SL,VILA-REAL,84,9583.019143,1191.388592,-0.08937747433,0.1243228855,no_adverse_marker,eligible
10,SYNTHETIC BRIGHTMILL INDUSTRIES 011 SL,VILA-REAL,70,7935.708741,-880.802666,0.009590996143,-0.1109923127,no_adverse_marker,eligible
11,SYNTHETIC SOLARIDGE SYSTEMS 015 SL,VILA-REAL,49,7571.371076,1062.850882,0.009560878725,0.1403775976,no_adverse_marker,eligible
12,SYNTHETIC IRONVALE INDUSTRIES 100 SL (EXTINGUIDA),NULES,107,7118.018512,1136.828421,-0.2901926696,0.1597113606,extinct,eligible
13,SYNTHETIC IRONVALE SYSTEMS 112 SL,NULES,55,7086.838361,76.03639,0.009556116459,0.01072924005,no_adverse_marker,eligible
14,SYNTHETIC BRIGHTMILL INDUSTRIES 107 SL,NULES,60,6877.665683,-342.101619,-0.0961641123,-0.04974094915,no_adverse_marker,eligible
15,SYNTHETIC IRONVALE MANUFACTURING 076 SL,ONDA,40,6863.697989,98.81778,-0.1122349515,0.01439716318,no_adverse_marker,eligible
16,SYNTHETIC RIVERSTONE INDUSTRIES 101 SL,L'ALCORA,54,6786.84875,759.168506,-0.003254518926,0.111858763,no_adverse_marker,eligible
17,SYNTHETIC NORTHSTAR OPERATIONS 061 SL,VINAROS,43,6421.613693,-779.161917,0.04428449023,-0.1213342867,no_adverse_marker,eligible
18,SYNTHETIC NOVACORE MATERIALS 030 SL,VILA-REAL,23,6418.696216,1106.108897,0.3028470783,0.1723261017,no_adverse_marker,eligible
19,SYNTHETIC NORTHSTAR INDUSTRIES 097 SL,VINAROS,47,6304.272193,-1133.766058,0.08493964629,-0.1798409116,no_adverse_marker,eligible
20,SYNTHETIC BLUEHAVEN LOGISTICS 086 SL,NULES,65,6202.505114,668.513333,-0.1080983099,0.1077811821,no_adverse_marker,eligible
